timestep ID X Y
111 1 1.10249 7.84219
111 3 1.53692 7.87986
112 3 1.53894 7.7813099999999995
112 1 1.0867 7.75657
113 3 1.5346700000000002 7.672910000000001
113 1 1.06961 7.662380000000001
114 2 0.275613 7.80808
114 1 1.0519 7.55716
114 3 1.5259200000000002 7.5586199999999995
115 2 0.270328 7.7143
115 1 1.03319 7.4465200000000005
115 3 1.51278 7.45057
116 2 0.26572399999999996 7.613429999999999
116 3 1.49647 7.35306
116 4 0.8545950000000001 7.8327599999999995
116 1 1.01467 7.33794
117 1 0.999538 7.24073
117 4 0.860271 7.741230000000001
117 3 1.4858600000000002 7.25958
117 2 0.262898 7.50839
118 3 1.4864 7.16561
118 4 0.8655769999999999 7.65194
118 2 0.265507 7.40193
118 1 0.9882420000000001 7.144450000000001
119 1 0.982561 7.0465
119 2 0.274157 7.29678
119 3 1.493 7.06398
119 4 0.8704149999999999 7.57088
120 4 0.869255 7.4997799999999994
120 1 0.9876229999999999 6.9416899999999995
120 2 0.282679 7.19933
120 3 1.4965799999999998 6.95529
121 1 1.00123 6.82725
121 3 1.49756 6.84389
121 2 0.283379 7.1063
121 4 0.858518 7.43567
122 3 1.49871 6.73286
122 1 1.01453 6.70501
122 2 0.272206 7.014819999999999
122 4 0.844133 7.367859999999999
123 3 1.5006 6.624969999999999
123 4 0.8305830000000001 7.288390000000001
123 1 1.0245600000000001 6.57779
123 2 0.256411 6.919779999999999
124 4 0.8173609999999999 7.19726
124 1 1.03839 6.45514
124 2 0.242368 6.82066
124 3 1.50323 6.52217
125 4 0.802308 7.100280000000001
125 1 1.0508 6.336670000000001
125 2 0.223578 6.71802
125 3 1.5055500000000002 6.42026
126 4 0.7840649999999999 7.00547
126 1 1.05676 6.21953
126 2 0.21258600000000002 6.61001
126 3 1.5019999999999998 6.31241
127 3 1.49546 6.20375
127 4 0.76385 6.91894
127 1 1.05375 6.105549999999999
127 5 1.00646 7.915220000000001
127 2 0.202424 6.50001
128 1 1.04036 5.99646
128 5 0.9922270000000001 7.85022
128 2 0.193492 6.39393
128 4 0.7479720000000001 6.8404300000000005
128 3 1.4906 6.08813
129 4 0.737415 6.75645
129 1 1.02346 5.88491
129 5 0.978466 7.788239999999999
